,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
0,Alistair Overeem,Alexander Volkov,Blue,,,Heavyweight
1,Cory Sandhagen,Frankie Edgar,Red,,,Bantamweight
2,Alexandre Pantoja,Manel Kape,Red,,,Flyweight
3,Diego Ferreira,Beneil Dariush,Blue,,,Lightweight
4,Michael Johnson,Clay Guida,Blue,,,Lightweight
5,Mike Rodriguez,Danilo Marques,Blue,,,Light Heavyweight
6,Molly McCann,Lara Procopio,Blue,,,Women's Flyweight
7,SeungWoo Choi,Youssef Zalal,Red,,,Featherweight
8,Dustin Poirier,Conor McGregor,Red,,Red,Lightweight
9,Dan Hooker,Michael Chandler,Blue,,Red,Lightweight
10,Jessica Eye,Joanne Calderwood,Blue,,Red,Women's Flyweight
11,Andrew Sanchez,Makhmud Muradov,Blue,,neither,Middleweight
12,Marina Rodriguez,Amanda Ribas,Red,,Red,Women's Strawweight
13,Brad Tavares,Antonio Carlos Junior,Red,,Red,Middleweight
14,Julianna Pena,Sara McMann,Red,,Red,Women's Bantamweight
15,Khalil Rountree Jr.,Marcin Prachnio,Blue,,neither,Light Heavyweight
16,Nik Lentz,Movsar Evloev,Blue,,neither,Catch Weight
17,Amir Albazi,Zhalgas Zhumagulov,Red,,Red,Flyweight
18,Michael Chiesa,Neil Magny,Red,,,Welterweight
19,Warlley Alves,Mounir Lazzez,Red,,,Welterweight
20,Ike Villanueva,Vinicius Moreira,Red,,,Light Heavyweight
21,Roxanne Modafferi,Viviane Araujo,Blue,,,Women's Flyweight
22,Matt Schnell,Tyson Nam,Red,,,Flyweight
23,Lerone Murphy,Douglas Silva de Andrade,Red,,,Featherweight
24,Omari Akhmedov,Tom Breese,Red,,,Middleweight
25,Ricky Simon,Gaetano Pirrello,Red,,,Bantamweight
26,Su Mudaerji,Zarrukh Adashev,Red,,,Flyweight
27,Dalcha Lungiambula,Markus Perez,Red,,,Middleweight
28,Francisco Figueiredo,Jerome Rivera,Red,,,Flyweight
29,Mike Davis,Mason Jones,Blue,,,Lightweight
30,Umar Nurmagomedov,Sergey Morozov,Red,,,Bantamweight
31,Victoria Leonardo,Manon Fiorot,Blue,,,Women's Flyweight
32,Max Holloway,Calvin Kattar,Red,,,Featherweight
33,Carlos Condit,Matt Brown,Red,,,Welterweight
34,Santiago Ponzinibbio,Li Jingliang,Blue,,,Welterweight
35,Joaquin Buckley,Alessio Di Chirico,Blue,,,Middleweight
36,Punahele Soriano,Dusko Todorovic,Red,,,Middleweight
37,Wu Yanan,Joselyne Edwards,Blue,,,Women's Bantamweight
38,Carlos Felipe,Justin Tafa,Red,,,Heavyweight
39,David Zawada,Ramazan Emeev,Blue,,,Welterweight
40,Sarah Moras,Vanessa Melo,Blue,,,Women's Bantamweight
41,Jacob Kilburn,Austin Lingo,Blue,,,Featherweight
42,Stephen Thompson,Geoff Neal,Red,,,Welterweight
43,Jose Aldo,Marlon Vera,Red,,,Bantamweight
44,Michel Pereira,Khaos Williams,Red,,,Welterweight
45,Marlon Moraes,Rob Font,Blue,,,Bantamweight
46,Marcin Tybura,Greg Hardy,Red,,,Heavyweight
47,Anthony Pettis,Alex Morono,Red,,,Welterweight
48,Sijara Eubanks,Pannie Kianzad,Blue,,,Women's Bantamweight
49,Deron Winn,Antonio Arroyo,Red,,,Catch Weight
50,Gillian Robertson,Taila Santos,Blue,,,Women's Flyweight
51,Tafon Nchukwi,Jamie Pickett,Red,,,Middleweight
52,Jimmy Flick,Cody Durden,Red,,,Flyweight
