date,volume
'2021-02-02',1502
'2020-09-29',1
'2021-02-26',565
'2021-02-14',127
'2021-02-21',160
'2021-02-17',171
'2021-02-13',181
'2021-02-01',884
'2021-02-10',222
'2021-03-19',218
'2021-03-08',126
'2021-01-31',939
'2021-03-21',46
'2021-02-27',297
'2021-03-02',359
'2021-01-30',1424
'2021-03-12',312
'2021-03-11',554
'2021-02-15',65
'2021-01-28',1197
'2021-02-05',2598
'2021-03-01',133
'2021-03-10',583
'2021-02-08',287
'2021-02-22',139
'2021-03-09',354
'2021-03-18',215
'2021-02-09',148
'2021-02-23',268
'2021-02-28',147
'2021-03-03',589
'2021-03-04',475
'2021-02-16',90
'2021-03-14',156
'2021-02-12',179
'2021-02-03',2643
'2021-03-16',236
'2021-03-17',235
'2021-02-07',511
'2021-02-25',545
'2021-02-19',347
'2021-02-20',246
'2021-02-04',1671
'2021-03-07',150
'2021-03-20',144
'2021-02-06',2791
'2021-02-24',240
'2021-03-05',427
'2021-02-18',245
'2021-03-15',94
'2021-03-06',411
'2021-02-11',169
'2021-01-29',15694
'2021-03-13',254
